Title,Author,Genre,Description,Year,Average Rating,Number of Pages,Range
A Cast of Corbies,Josepha Sherman,Fiction,"A strange pall has settled over Alanda. Everywhere representatives of the Church seek to ferret out unauthorized magic -- and music, because it is magic at its roots, has come under suspicion. And that which is suspect, if it cannot be crushed altogether, must be stripped of its mystery, made tame and answerable to the power of the priests. Throughout the lands the Free Bards, those who will not or cannot join the priest-condoned Guild, are being driven away. But all who are Free are free to choose: to flee or to fight.",1994,3.78,320,201 - 400
A Cavern of Black Ice,J. V. Jones,Fiction,"A young man and woman from different clans, Raif Sevrance, a member of the Clan Blackhail, and Ash March, a girl who is plagued by sinister dreams, are drawn together by prophecy and plunged into a realm of magic, war, and danger that could determine the fate of their world. Reprint.",2005,3.87,769,601 - 800
A Certain Justice,John T. Lescroart,Fiction,"A novel that examines the nature of justice--and injustice--follows an ordinary man who, through no fault of his own, is hounded, hunted, and almost destroyed for a crime he did not commit.",2006,4,624,601 - 800
A Chosen Few,Mark Kurlansky,History,"A POWERFUL, DEEPLY MOVING NARRATIVE OF HOPE REBORN IN THE SHADOW OF DESPAIR Fifty years after it was bombed to rubble, Berlin is once again a city in which Jews gather for the Passover seder. Paris and Antwerp have recently emerged as important new centers of Jewish culture. Small but proud Jewish communities are revitalizing the ancient centers of Budapest, Prague, and Amsterdam. These brave, determined Jewish men and women have chosen to settle–or remain–in Europe after the devastation of the Holocaust, but they have paid a price. Among the unexpected dangers, they have had to cope with an alarming resurgence of Nazism in Europe, the spread of Arab terrorism, and the impact of the Jewish state on European life. Delving into the intimate stories of European Jews from all walks of life, Kurlansky weaves together a vivid tapestry of individuals sustaining their traditions, and flourishing, in the shadow of history. An inspiring story of a tenacious people who have rebuilt their lives in the face of incomprehensible horror, A Chosen Few is a testament to cultural survival and a celebration of the deep bonds that endure between Jews and European civilization. “Consistently absorbing . . . A Chosen Few investigates the relatively uncharted territory of an encouraging phenomenon.” –Los Angeles Times “I can think of no book that portrays with such intelligence, historical understanding, and journalistic flair what life has been like for Jews determined to build lives in Europe.” –SUSAN MIRON Forward",2002,3.87,456,401 - 600
A Christmas Carol,Charles Dickens,Classics,"This Prestwick House Literary Touchstone Edition includes a glossary and reader's notes to help the reader fully appreciate the beauty and humor of Dickens's work.In his ""Ghostly little book,"" Charles Dickens invents the modern concept of Christmas Spirit and offers one of the world's most adapted and imitated stories. We know Ebenezer Scrooge, Tiny Tim, and the Ghosts of Christmas Past, Present, and Future, not only as fictional characters, but also as icons of the true meaning of Christmas in a world still plagued with avarice and cynicism.",2005,4.04,112,<201
A Clash of Kings,George R. R. Martin,Fiction,"With his estate divided and his family scattered, Lord Eddard Stark returns to his territory to fight an ancient spell that is slowly devouring what is left of his land. Reprint.",2002,4.41,969,801 - 1000
A Clockwork Orange,Anthony Burgess,Classics,"Anthony Burgess's stage play of his infamous cult novel and film of the same name. Alex and his vicious teenage gang revel in horrific violence, mugging and gang rape. Alex also revels in the music of Beethoven. The Gang communicates in a language which is as complicated as their actions. When a drug-fuelled night of fun ends in murder, Alex is finally busted and banged up. He is given a choice - be brainwashed into good citizenship and set free, or face a lifetime inside. Anthony Burgess's play with music, based on his own provocative 1962 novella of the same name, was first published in 1987. A Clockwork Orangewas made into a film classic by Stanley Kubrick in 1971 and was dramatizes by the RSC in 1990.",1998,3.82,51,<201
A Coffin for Dimitrios,Eric Ambler,Fiction,"While vacationing in Istanbul, English novelist Charles Latimer decides to investigate the intriguing past of one of Europe's most sinister criminals, the notorious Dimitrios, a search that will lead him into a shadowy web of espionage, drugs, intrigue, and assassination. Reprint. 12,500 first printing.",2001,3.92,304,201 - 400
A Complicated Kindness,Miriam Toews,Literary Fiction,"A witty, beleaguered teenager whose family is shattered by fundamentalist Christianity balances grief and hope in this coming-of-age novel. Left alone with her sad, peculiar father, she spends her days piecing together why her mother and sister left.",2005,3.65,253,201 - 400
A Confederacy of Dunces,John Kennedy Toole,Classics,"Ignatius Reilly, the hero, is a grotesque Gargantua, in violent revolt against the entire 20th century and what he takes to be the manifold excesses and perversions of the past 400 years. He lumbers through New Orleans leaving chaos in his wake.",2000,3.89,338,201 - 400
A Conflict Of Visions,Thomas Sowell,History,"Controversies in politics arise from many sources, but the conflicts that endure for generations or centuries show a remarkably consistent pattern. In this classic work, Thomas Sowell analyzes this pattern. He describes the two competing visions that shape our debates about the nature of reason, justice, equality, and power: the ""constrained"" vision, which sees human nature as unchanging and selfish, and the ""unconstrained"" vision, in which human nature is malleable and perfectible. A Conflict of Visions offers a convincing case that ethical and policy disputes circle around the disparity between both outlooks.",2002,4.32,304,201 - 400
A Crack in the Edge of the World,Simon Winchester,History,"Unleashed by ancient geologic forces, a magnitude 8.25 earthquake rocked San Francisco in the early hours of April 18, 1906. Less than a minute later, the city lay in ruins. Bestselling author Simon Winchester brings his inimitable storytelling abilities to this extraordinary event, exploring the legendary earthquake and fires that spread horror across San Francisco and northern California in 1906 as well as its startling impact on American history and, just as important, what science has recently revealed about the fascinating subterranean processes that produced it—and almost certainly will cause it to strike again.",2006,3.78,419,401 - 600
A Crown of Swords,Robert Jordan,Fiction,"Elayne, Aviendha, and Mat work to restore the world's natural weather, while Egwene gathers a group of female channelers and Rand confronts the dread Forsaken Sammael, in the seventh volume in the Wheel of Time series. Reprint.",1997,4.03,880,801 - 1000
A Dance to the Music of Time,Anthony Powell,Fiction,"""Movement 2. The rumble of distant events in Germany and Spain presages the storm of WWII. In England, even as the whirl of marriages and adulteries, fashions and frivolities, personal triumphs and failures gathers speed, men and women find themselves on the brink of fateful choices.",1995,3.95,718,601 - 800
A Dark and Hungry God Arises,Stephen R. Donaldson,Fiction,"In the sequel to The Real Story and Forbidden Knowledge, a scheme unravels to reveal deeper schemes. By the author of The Chronicles of Thomas Covenant. Reprint.",1993,4.08,518,401 - 600
A Devilish Dilemma,Judith Lansdowne,Fiction,"When Miss Minerva Potts called off her engagement to the self-absorbed Lord Whithall, she vowed not to marry at all. Then, she met Chadwick Brumfield, Earl of Rossland. Known as the Devil's Delight, the charming earl had a reputation so scandalous, Minerva was certain she would never lose her heart to him--but she was wrong.",1998,4.02,288,201 - 400
A Dirty Job,Christopher Moore,Fiction,"Charlie Asher is a pretty normal guy. A little hapless, somewhat neurotic, sort of a hypochondriac. He's what's known as a Beta Male: the kind of fellow who makes his way through life by being careful and constant -- you know, the one who's always there to pick up the pieces when the girl gets dumped by the bigger/taller/stronger Alpha Male. But Charlie's been lucky. He owns a building in the heart of San Francisco, and runs a secondhand store with the help of a couple of loyal, if marginally insane, employees. He's married to a bright and pretty woman who actually loves him for his normalcy. And she, Rachel, is about to have their first child. Yes, Charlie's doing okay for a Beta. That is, until the day his daughter, Sophie, is born. Just as Charlie -- exhausted from the birth -- turns to go home, he sees a strange man in mint-green golf wear at Rachel's hospital bedside, a man who claims that no one should be able to see him. But see him Charlie does, and from here on out, things get really weird. . . . People start dropping dead around him, giant ravens perch on his building, and it seems that everywhere he goes, a dark presence whispers to him from under the streets. Strange names start appearing on his nightstand notepad, and before he knows it, those people end up dead, too. Yup, it seems that Charlie Asher has been recruited for a new job, an unpleasant but utterly necessary one: Death. It's a dirty job. But hey, somebody's gotta do it. Christopher Moore, the man whose Lamb served up Jesus' ""missing years"" (with the funny parts left in), and whose Fluke found the deep humor in whale researchers' lives, now shines his comic light on the undiscovered country we all eventually explore -- death and dying -- and the results are hilarious, heartwarming, and a hell of a lot of fun.",2006,4.07,387,201 - 400
A Fairly Honourable Defeat,Iris Murdoch,Literary Fiction,A ten guinea wager between a woman and her former lover threatens to disrupt the lives of all those close to them.,2001,3.94,432,401 - 600
A Farewell to Arms,Ernest Hemingway,Classics,"In 1918 Ernest Hemingway went to war, to the 'war to end all wars'. He volunteered for ambulance service in Italy, was wounded and twice decorated. Out of his experiences came A Farewell to Arms. Hemingway's description of war is unforgettable. He recreates the fear, the comradeship, the courage of his young American volunteer and the men and women he meets in Italy with total conviction. But A Farewell to Arms is not only a novel of war. In it Hemingway has also created a love story of immense drama and uncompromising passion.",1994,3.8,293,201 - 400
A Feast for Crows,George R. R. Martin,Fiction,"The uneasy peace that exists following the death of Robb Stark is threatened by new plots, intrigues, and alliances that once again will plunge the Seven Kingdoms into all-out war for control of the Iron Throne.",2006,4.13,1061,1000 +
A Feather on the Breath of God,Sigrid Nunez,Literary Fiction,"Growing up in a New York housing project during the 1950s and 1960s, a young woman, the child of multiethnic immigrant parents, escapes the problems of her life into a world of dreams shaped by her parents' stories, her own reading, and the ballet. Reprint.",2005,3.87,192,<201
A Fine Balance,Rohinton Mistry,Literary Fiction,"In India during the mid-1970s, after a ""state of internal emergency"" is declared, four very different people--a widowed seamstress, a student, and a man and his nephew who have fled their village's caste violence--find their lives becoming inextricably intertwined",1997,4.36,603,601 - 800
A Fistful of Charms,Kim Harrison,Fiction,"The evil night things that prowl Cincinnati despise witch and bounty hunter Rachel Morgan. Her new reputation for the dark arts is turning human and undead heads alike with the intent to possess, bed, and kill her -- not necessarily in that order. Now a mortal lover who abandoned Rachel has returned, haunted by his secret past. And there are those who covet what Nick possesses -- savage beasts willing to destroy the Hollows and everyone in it if necessary. Forced to keep a low profile or eternally suffer the wrath of a vengeful demon, Rachel must nevertheless act quickly. For the pack is gathering for the first time in millennia to ravage and to rule. And suddenly more than Rachel's soul is at stake.",2006,4.28,510,401 - 600
A Friar's Bloodfeud,Michael Jecks,Fiction,"Bailiff Simon Puttock's servant, Hugh, has been granted leave to look after his wife, Constance, and to help raise their child. But soon after, she is attacked in their home, raped by a gang of men. Then she watches as her son is murdered and Hugh is struck down, before she too is killed and the house set afire. When Simon and Sir Baldwin Furnshill, Keeper of the King's Peace, arrive at the grisly scene, the cottage is burned to the ground, the body of the child lying outside. Inside is a woman's torso, badly charred. There are no remains of Hugh, but the fire raged so fiercely that all believe he has perished. But nothing is so simple. Simon vows revenge, and there are dark forces lurking that will cause no end of mayhem and bloodshed.",2006,4.1,500,401 - 600
A Full House,Madeleine L'Engle,Fiction,The Austins have a full house on Christmas Eve when fate brings them a new mother and a young woman who is expecting.,1999,3.99,48,<201
A Harlot High and Low,Honore de Balzac,Classics,"Handsome would-be poet Lucien Chardon is poor and naive, but highly ambitious. Failing to make his name in his dull provincial hometown, he is taken up by a patroness, the captivating married woman Madame de Bargeton, and prepares to forge his way in the glamorous beau monde of Paris. But Lucien has entered a world far more dangerous than he realized, as Madame de Bargeton's reputation becomes compromised and the fickle, venomous denizens of the courts and salons conspire to keep him out of their ranks. Lucien eventually learns that, wherever he goes, talent counts for nothing in comparison to money, intrigue and unscrupulousness. Lost Illusions is one of the greatest novels in the rich procession of the Comedie humaine, Balzac's panoramic social and moral history of his times.",1970,4.05,554,401 - 600
A Higher Justice,James Scott Bell,Fiction,"A case involving a trolley accident pits Kit against powerful railway men, all of whom have something to hide. The truth may blow the lid off a conspiracy, so will her enemies find a way to keep her silenced forever?",2003,4.23,303,201 - 400
A Highland Christmas,M. C. Beaton,Fiction,"From the author of the Agatha Raisin television series...A HIGHLAND CHRISTMAS: A Hamish Macbeth Mystery Celebrate the Holidays with M. C. Beaton, The Queen of The Cozy Mystery. In the dark, wintry highlands of Lochdubh, Scotland, where the local Calvinist element resists the secular trimmings of Christmas, the spirit of Old St. Nick is about as welcome as a flat tire on a deserted road. Nor is crime taking a holiday, as Constable Hamish Macbeth soon finds himself protecting an unhappy girl, unlocking the secrets of a frightened old woman, and retrieving some stolen holiday goods. Now the lanky lawman must use all his Highland charm and detective skills to make things right. And he had better do it quickly, for the church bells will soon toll and all of Lochdubh will be forced to face another dreary winter without the comforting embrace of Yuletide cheer.",2002,3.86,160,<201
A History of Modern Europe,John M. Merriman,History,"Available in both one-volume and two-volume paperback editions, A History of Modern Europe presents a panoramic survey of modern Europe from the Renaissance to the present day. A seasoned teacher and talented historian, Professor John Merriman offers a carefully crafted narrative that guides students through a vast amount of complex material, integrating the many aspects of the European experience into a larger, interconnected whole. A full ten percent shorter than its predecessor, the Second Edition has tightened organization throughout to make room for recent research and descriptions of the current issues and events that define Europe's role in the world today.",2004,3.98,1040,1000 +
A History of Modern Psychology,Duane Schultz,Psychology,Important Notice: Media content referenced within the product description or the product text may not be available in the ebook version.,2007,3.85,558,401 - 600
A History of the World in 10 1/2 Chapters,Julian Barnes,Literary Fiction,"Offers an idiosyncratic, revisionist history of life on planet Earth, from a playful account of Noah by a stowaway on the Ark, to the spiritual odyssey of a American astronaut",1990,3.9,320,201 - 400
A History of the World in 6 Glasses,Tom Standage,Cooking,"An offbeat history of the world traces the story of humankind from the Stone Age to the twenty-first century from the perspective of six different drinks--beer, wine, spirits, coffee, tea, and cola--describing their pervasive influence during pivotal eras of world history, from humankind's adoption of agriculture to the advent of globalization. Reprint. 40,000 first printing.",2006,3.76,336,201 - 400
A Home at the End of the World,Michael Cunningham,Fiction,"From the Pulitzer Prize-winning author of ""The Hours"" comes the masterful story of a unique family that is formed when Jonathan moves to New York to live with boyhood friend Bobby and Clare, a veteran of the city's erotic wars. Soon to be a motion picture starring Colin Farrell, Sissy Spacek, and Robin Wright Penn.",2004,3.9,342,201 - 400
A Hunger Like No Other,Kresley Cole,Fiction,"In New York Times and USA TODAY bestselling author Kresley Cole’s sizzling series, a fierce werewolf and a bewitching vampire become unlikely soul mates whose passion will test the boundaries of life and death. After enduring years of torture from the vampire horde, Lachlain MacRieve, leader of the Lykae Clan, is enraged to find the predestined mate he’s waited millennia for is a vampire. Or partly one. Emmaline Troy is a small, ethereal half Valkyrie/half vampire, who somehow begins to soothe the fury burning within him. Sheltered Emmaline finally sets out to uncover the truth about her deceased parents—until a powerful Lykae claims her as his mate and forces her back to his ancestral Scottish castle. There, her fear of the Lykae—and their notorious dark desires—ebbs as he begins a slow, wicked seduction to sate her own dark cravings. Yet when an ancient evil from her past resurfaces, will their desire deepen into a love that can bring a proud warrior to his knees and turn a gentle beauty into the fighter she was born to be?",2006,4.2,356,201 - 400
A Killing Rain,P. J. Parrish,Fiction,"While working on a seemingly routine case, Detective Louis Kincaid is drawn into the twisted world of a serial killer who keeps trophies of his victims deep within the Florida Everglades. Original.",2005,4.04,383,201 - 400
A Kiss Before Dying,Ira Levin,Fiction,"A Kiss Before Dying not only debuted the talent of best-selling novelist Ira Levin to rave reviews, it also set a new standard in the art of mystery and suspense. Now a modern classic, as gripping in its tautly plotted action as it is penetrating in its exploration of a criminal mind, it tells the shocking tale of a young man who will stop at nothing—not even murder—to get where he wants to go. For he has dreams; plans. He also has charm, good looks, sex appeal, intelligence. And he has a problem. Her name is Dorothy; she loves him, and she’s pregnant. The solution may demand desperate measures. But, then, he looks like the kind of guy who could get away with murder. Compellingly, step by determined step, the novel follows this young man in his execution of one plan he had neither dreamed nor foreseen. Nor does he foresee how inexorably he will be enmeshed in the consequences of his own extreme deed.",2003,3.94,242,201 - 400
A Kiss to Remember,Teresa Medeiros,Fiction,"After his mother dies, Sterling Harlow sets out to reclaim her estate and evict his mother's ward Laura Fairleigh, but on the way there he is rendered unconscious and loses his memory, and Laura sets out to convince Sterling that he is her betrothed.",2002,3.88,353,201 - 400
A Lie and a Libel,Binjamin W. Segel,History,"A strange and repugnant mystery of the twentieth century is the durability of the Protocols of the Elders of Zion, a clumsy forgery purporting to be evidence of the supposed Jewish plot to rule the world. Though it has been exposed as a forgery, some apprentice brownshirt is always rediscovering it, the latest in a line of gullibility that includes, most famously, Henry Ford. Recently it has been translated into Japanese and circulates once again with renewed virulence in the former Soviet Union and Eastern Europe. In 1924 in Germany the Jewish author and journalist Binjamin Segel wrote a major historical exposé of the fraud and later edited his work into a shorter form, published as Welt-Krieg, Welt-Revolution, Welf-Verschwörung, Welt-Oberregierung (Berlin 1926). Translator Richard S. Levy, a specialist on the history of anti-semitism, provides an extensive introduction on the circumstances of Segel's work and the story of the Protocols up to the 1990s, including an explanation of its continuing psychological appeal and political function.",1996,3.56,148,<201
A Life in Letters,F. Scott Fitzgerald,Literary Fiction,"A vibrant self-portrait of an artist whose work was his life. In this new collection of F. Scott Fitzgerald's letters, edited by leading Fitzgerald scholar and biographer Matthew J. Bruccoli, we see through his own words the artistic and emotional maturation of one of America's most enduring and elegant authors. A Life in Letters is the most comprehensive volume of Fitzgerald's letters -- many of them appearing in print for the first time. The fullness of the selection and the chronological arrangement make this collection the closest thing to an autobiography that Fitzgerald ever wrote. While many readers are familiar with Fitzgerald's legendary ""jazz age"" social life and his friendships with Ernest Hemingway, Gertrude Stein, Edmund Wilson, and other famous authors, few are aware of his writings about his life and his views on writing. Letters to his editor Maxwell Perkins illustrate the development of Fitzgerald's literary sensibility; those to his friend and competitor Ernest Hemingway reveal their difficult relationship. The most poignant letters here were written to his wife, Zelda, from the time of their courtship in Montgomery, Alabama, during World War I to her extended convalescence in a sanatorium near Asheville, North Carolina. Fitzgerald is by turns affectionate and proud in his letters to his daughter, Scottie, at college in the East while he was struggling in Hollywood. For readers who think primarily of Fitzgerald as a hard-drinking playboy for whom writing was effortless, these letters show his serious, painstaking concerns with creating realistic, durable art.",1995,4.24,528,401 - 600
A Little Princess,Frances Hodgson Burnett,Fiction,"Sara Crewe, a pupil at Miss Minchin's London school, is left in poverty when her father dies but is later rescued by a mysterious benefactor.",2002,4.19,242,201 - 400
A Long Way Down,Nick Hornby,Fiction,"Meeting on New Year's Eve on the roof of Topper's House, a London destination infamous as a last stop for suicidal people, a television talk-show host, a musician, a teenage girl, and a mother share the stories about their circumstances and decisions. By the author of How to Be Good. Reader's Guide available. Reprint. 500,000 first printing.",2006,3.42,368,201 - 400
A Madman Dreams of Turing Machines,Janna Levin,Fiction,"In a saga of genius, madness, and seminal scientific accomplishment, a physicist obsessed with logician Kurt Gdel and mathematician Alan Turing chronicles the lives of both men in parallel narratives that reveal each man's great achievements and sorry deaths. 40,000 first printing.",2006,3.68,230,201 - 400
A Man of the People,Chinua Achebe,Classics,A young intellectual becomes embroiled in the struggle of Nigerian revolutionaries,1966,3.87,160,<201
A Map of the World,Jane Hamilton,Fiction,"While under the care of Alice Goodwin, a neighbor's child drowns in the Goodwins' pond, a devastating accident that has profound repercussions for the entire Goodwin family, in a story set in a small Midwestern farm town",1995,3.8,400,201 - 400
A Matter of Trust,Radclyffe,Fiction,"Michael Lassiter hires J.T. Sloan, a security consultant, to protect his company. Sloan shares a painful past with her associate & friend Jason McBride. Sarah Martin, is a gentle practitioner of eastern medicine. Four very different people, each wounded by personal beytrayal, find their lives inextricably linked.",2006,4.2,240,201 - 400
A Midsummer Night's Dream,William Shakespeare,Classics,"Two pairs of star-crossed lovers, a feuding pair of supernatural sprites, and a love potion gone awry all come together in an enchanted moonlit forest.",2000,3.94,144,<201
A Million Little Pieces of Feces,Python Bonkers,Fiction,"(Selected excerpts and outside reviews can be found by clicking on the blue Python Bonkers hyperlink.) This book may share an alphabetical lineage with the Frey book, but there is no melodramatic redemption here -- it is not a parody of that book but its own entity. As one of the characters from the book says, We're still involved in the commission of the acts that will require redemption -- and those stories are always so much more fun. Bonkers and his bizarre team embarks on a gonzo tear through the streets of Los Angeles and across the pop cultural landscape as well. In his satirical quest for truth in journalism, and life, he must navigate through the many odd tiers of social class, in both the Southern California culture and in his Machiavellian office life and its absurd red and blue political divisions. This is no heart-wrenching tale of excess, its destination is hilarity, so it presses the pedal to the metal and takes no prisoners.",2006,3.55,256,201 - 400
A Mistress For The Taking,Annie West,Fiction,"Inexperienced Marina Lucchesi must save her brother from ruin. Rich, handsome Ronan Carlisle wants to settle a score. Ronan's strategy is simple: if Marina poses as his mistress, he'll ensure that the man who made them both suffer will pay. But Marina wonders, why would Ronan, one of Australia's most eligible tycoons, want her?However, she's not in a position to refuse Ronan's offer...or resist the overwhelming physical attraction pulsing between them....",2007,3.42,186,<201
A Modernist View of Plated Desserts (Grand Finales),Tish Boyle,Cooking,"""Modernism is simply the result of the extremely progressive evolution of the American pastry industry. With the use of all ethnic influences, creative flavor combinations enhanced by incredibly visual designs is truly the global trend-setter for the millennium."" Norman Love Corporate Pastry Chef, Ritz-Carlton Hotel Company Milk Chocolate-Ginger Mousse with Liquid Chocolate Center Norman Love Corporate Pastry Chef, Ritz-Carlton Hotel Company, Naples, Florida. Mont Blanc Michael Hu Executive Pastry Chef, Waldorf-Astoria Hotel, New York Midnight Macadamia Torte Kim O'Flaherty Pastry Cook, Essex House Hotel, New York. Chocolate and Pear Mousse Ensemble Eric Perez Executive Pastry Chef, Ritz-Carlton Tyson's Corners, Virginia. Chocolate Croissant Bread Pudding with Specky Vanilla Ice Cream and Caramel Marshall Rosenthal Executive Pastry Chef, Trump Taj Mahal Hotel and Casino, Atlantic City, New Jersey Butter Pecan Custard Cake Wayne Brachman Executive Pastry Chef, Mesa Grill and Bolo, both in New York.",1997,4.24,288,201 - 400
A Mulligan for Bobby Jobe,Robert Cullen,Fiction,"Bobby Jobe is a pro golfer whose swing is better than his attitude. When he bogies the last four holes and blows his lead in a major tournament -- again -- he berates his caddy, Henry ""Greyhound"" Mote. Jobe loses both Greyhound, who walks off the course, and the game. And before the day is out, he'll lose his eyesight to a lightning strike and his future in golf -- unless he can do what no one has ever done blind: make a comeback. Bob Cullen's funny and wise story, full of PGA lore, perfectly captures the mysterious and irresistible nature of the game of golf, not to mention, love, friendship, and life.",2002,3.31,400,201 - 400
A Murder is Announced,Agatha Christie,Mystery,"The villagers of Chipping Cleghorn are amazed by an advertisement in the local paper which reads ""A murder is announced and will take place on Friday October 29th, at Little Paddocks at 6.30pm. Unable to resist, a crowd begins to gather at the house at the appointed time. But when a man is killed in what looks like an attempted robbery, Miss Marple becomes involved.",2002,3.98,382,201 - 400
A New Collection of Three Complete Novels,Michael Crichton,Fiction,"Fans of Jurassic Park and Rising Sun, the books and the movies, will want to own this collection of Crichton's earlier, technical suspense novels, which includes Congo, Sphere, and Eaters of the Dead.",1994,3.99,720,601 - 800
A New Leash on Death,Susan Conant,Fiction,"Holly Winter, a writer and amateur sleuth, and her adopted Alaskan malamute, Rowdy, team up to track down a killer lurking at a dog show. Reissue.",1994,3.79,180,<201
A Nose for Murder,Lee Charles Kelley,Fiction,"Former cop-turned-dog trainer Jack Field is called in when the body of Allison DeMarco is found on her kitchen floor, accompanied by her high-strung Airedale, Ginger, and must enlist his special skills to find out what happened since Ginger appears to be the only witness to the crime. Original.",2003,3.47,267,201 - 400
A Painted House,John Grisham,Mystery,"Racial tension, a forbidden love affair, and murder are seen through the eyes of a seven-year-old boy in a 1950s Southern cotton-farming community.",2004,3.69,384,201 - 400
A Pale View of Hills,Kazuo Ishiguro,Literary Fiction,"Etsuko, a middle-aged Japanese woman now living alone in England, dwells on the recent suicide of her elder daughter, Keiko. Despite the efforts of her surviving daughter to distract her thoughts, Etsuko finds herself recalling a particular summer in Nagasaki after the bomb fell.",2005,3.73,183,<201
A Parchment of Leaves,Silas House,Fiction,"In 1917, a Cherokee woman who leaves her community to marry a white man finds herself isolated and discriminated against as she tries to settle in to her new life. By the author of Clay's Quilt. Reprint.",2003,4.17,304,201 - 400
A Passage to India,E. M. Forster,Classics,What really happened to Miss Quested in the Marabar Caves? This tantalising question provides the intense drama of racial tension at the centre of Foster's last and greatest novel.,2005,3.68,376,201 - 400
A Patchwork Planet,Anne Tyler,Literary Fiction,Follows a loveable loser and occasional thief as he tries to reform under the influence of a decent young woman.,2001,3.79,320,201 - 400
